"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"Antietam Elementary","Marcia Wieduwilt","08-12","Prince William County Public Schools","12000 Antietam Rd","703-497-7619","Woodbridge","22192","VA"
"Apple Pie Ridge Elementary","Ms. Megan Dodd","06-08","Frederick County Public Schools","349 Apple Pie Ridge Rd","540-662-4781","Winchester","22603","VA"
"Appomattox County High","Dr. Francis L Moreno","06-08","Appomattox County Public Schools","198 Evergreen Avenue","434-352-7146","Appomattox","24522","VA"
"Appomattox Elementary","Mrs. Karen Cyrus","06-08","Appomattox County Public Schools","176 Kids Place","434-352-7463","Appomattox","24522","VA"
"Appomattox Middle","Mrs. Julie B Amos","06-08","Appomattox County Public Schools","2020 Church St","434-352-8257","Appomattox","24522","VA"
"Appomattox Primary","Mrs. Allison E Maxwell","06-08","Appomattox County Public Schools","185 Learning Lane","434-352-5766","Appomattox","24522","VA"
"Arcadia High","Mr. Shaun O'Shea","09-12","Accomack County Public Schools","8210 Lankford Highway","757-824-5613","Oak Hall","23416","VA"
"Arcadia Middle","Ms. Wandnetta McCray","04-07","Accomack County Public Schools","29485 Horsey Rd.","757-824-4862","Oak Hall","23416","VA"
"Archer Elementary","Michelle Makrigiorgos","09-12","Fairfax County Public Schools","324 Nutley St NW","703-937-6200","Vienna","22180","VA"
"Arcola Elementary","Andrew Stevens","09-12","Loudoun County Public Schools","41740 Tall Cedars Parkway","703-957-4390","Aldie","20105","VA"
"Arlington Community High","Dr. Barbara Thompson","05-07","Arlington County Public Schools","800 S. Walter Reed Dr","703-228-5350","Arlington","22204","VA"
"Arlington Traditional","Holly Hawthorne","07-08","Arlington County Public Schools","1030 N. MCKINLEY ROAD","703-228-6290","Arlington","22205","VA"
"Armel Elementary","Mrs. Heather Miller","09-12","Frederick County Public Schools","2239 Front Royal Pike","540-869-1657","Winchester","22602","VA"
"Armstrong Elementary","James Quinn","09-12","Fairfax County Public Schools","11900 Lake Newport Rd","703-375-4800","Reston","20194-1500","VA"
"Armstrong Elementary","Ms. Millicent Y. Rogers","06-08","Hampton Public Schools","3401 Matoaka Rd","757-727-1067","Hampton","23661","VA"
"Armstrong High","Willie Bell","09-12","Richmond Public Schools","2300 Cool Lane","804-780-4449","Richmond","23223-4196","VA"
"Arrowhead Elementary","Kimani K. Vaughan","05-07","Virginia Beach Public Schools","5549 Susquehanna Dr","757-648-2040","Virginia Beach","23462-4034","VA"
"Arthur Ashe Jr. Elementary","Jeanette L. Mills","09-12","Henrico County Public Schools","1001 Cedar Fork Road","804-343-6550","Richmond","23223","VA"
"Arthur R. Ware Elementary","Mr. William Brown","09-12","Staunton Public Schools","330 Grubert Avenue","540-332-3938","Staunton","24401","VA"
"Ashburn Elementary","Michelle Walthour","06-08","Loudoun County Public Schools","44062 Fincastle Dr","571-252-2350","Ashburn","20147","VA"
"Ashland Elementary","Anna Houseworth","09-12","Prince William County Public Schools","15300 Bowmans Folly Dr.","703-583-8774","Manassas","20112","VA"
"Ashlawn Elementary","Ms. Breonna McClain","09-12","Arlington County Public Schools","5950 N. 8th Road","703-228-5270","Arlington","22205","VA"
"Atkins Elementary","Mr. Gary L. Roberts","09-12","Smyth County Public Schools","5903 Lee Hwy","276-783-3366","Atkins","24311","VA"
"Atlee High","Dr. John J. Wheeler","06-08","Hanover County Public Schools","9414 Atlee Station Road","804-723-2100","Mechanicsville","23116","VA"
"Auburn Elementary","Kimberly Rygas","09-12","Montgomery County Public Schools","1760 AUBURN SCHOOL DR.","540-381-6521","Riner","24149","VA"
"Auburn High","Mr. Chris Stewart","06-08","Montgomery County Public Schools","1650 AUBURN SCHOOL DR","540-382-5160","Riner","24149","VA"
"Auburn Middle","Mr. Josh Miller","09-12","Fauquier County Public Schools","7270 Riley Rd.","540-428-3750","Warrenton","20187","VA"
"Auburn Middle","Ms. Meggan Marshall","05-06","Montgomery County Public Schools","4163 Riner Rd","540-382-5165","Riner","24149","VA"
"Axton Elementary","Mrs. Marcie Seay","09-12","Henry County Public Schools","1500 Axton School Road","276-650-1193","Axton","24054","VA"
"Azalea Gardens Middle","Dr. James Kirk","06-08","Norfolk Public Schools","7721 Azalea Garden Rd","757-531-3000","Norfolk","23518","VA"
"B.C. Charles Elementary","Ms. Oriel Robinson-Taylor","06-08","Newport News Public Schools","701 Menchville Road","757-886-7750","Newport News","23602","VA"
"B.M. Williams Primary","Mrs. Brighid M. Gates","09-12","Chesapeake Public Schools","1100 Battlefield Blvd N","757-547-0238","Chesapeake","23320","VA"
"B.T. Washington Middle","Dr. Sean Callender","09-12","Newport News Public Schools","3700 Chestnut Ave","757-928-6860","Newport News","23607","VA"
"Back Creek Elementary","Virginia Sharp","06-08","Roanoke County Public Schools","7130 Bent Mountain Rd","540-772-7565","Roanoke","24018","VA"
"Bacon District Elementary","Mr. William Pettus","09-12","Charlotte County Public Schools","840 Bacon School Rd","434-542-9507","Saxe","23967","VA"
"Bailey Bridge Middle","Melanie Knowles","09-12","Chesterfield County Public Schools","12501 Bailey Bridge Rd","804-739-6200","Midlothian","23112-1803","VA"
"Bailey's Elementary School for the Arts and Sciences","Satonya Dews","09-12","Fairfax County Public Schools","6111 Knollwood Dr","703-575-6800","Falls Church","22041","VA"
"Bailey's Upper Elementary School for the Arts and Sciences","Marie Lemmon","06-08","Fairfax County Public Schools","6245 Leesburg Pike","703-503-2700","Falls Church","22044","VA"
"Baker-Butler Elem","Seth Kennard","06-08","Albemarle County Public Schools","2740 Proffit Road","434-974-7777","Charlottesville","22911","VA"
"Baldwin Elementary","Mr. Dave Rupert","09-12","Manassas Public Schools","1978 Eagle Way","571-377-6100","Manassas","20110-5799","VA"
"Baldwin Intermediate","Patrice Brown","05-07","Manassas Public Schools","1978 Eagle Way","571-921-8000","Manassas","20110","VA"
"Ball's Bluff Elementary","Jennifer Ewing","06-08","Loudoun County Public Schools","821 Battlefield Pkwy NE","571-252-2880","Leesburg","20176","VA"
"Banneker Elementary","Mr. Robert Carter","06-08","Loudoun County Public Schools","35231 Snake Hill Rd","540-751-2480","Middleburg","20117","VA"
"Barack Obama Elementary","Mrs. Jennifer K. Moore","06-08","Richmond Public Schools","3101 Fendall Ave","804-780-4879","Richmond","23222-2699","VA"
"Barcroft Elementary","Ms. Judy Apostolico-Buck","09-12","Arlington County Public Schools","625 S Wakefield St","703-228-5838","Arlington","22204","VA"
"Barrett Elementary","Mrs. Ragan Sohr","06-08","Arlington County Public Schools","4401 N Henderson Rd","703-228-6288","Arlington","22203","VA"
"Barron Elementary","Ms. Karen L. Johnson","09-12","Hampton Public Schools","45 Fox Hill Rd","757-850-5100","Hampton","23669","VA"
"Bassett High","Mrs. Tiffiny Gravely","06-08","Henry County Public Schools","85 Riverside Dr","276-629-1731","Bassett","24055-9307","VA"
"Bass-Hoover Elementary","Mr. Darren Thomas","06-08","Frederick County Public Schools","471 Aylor Road","540-869-4700","Stephens City","22655","VA"
"Bath County High","Dr. Mike Perry","09-12","Bath County Public Schools","464 Charger Lane","540-839-2431","Hot Springs","24445","VA"
"Battlefield Elementary","Kara Hurley","09-12","Spotsylvania County Public Schools","11108 Leavells Rd","540-786-4532","Fredericksburg","22407","VA"
"Battlefield High","Ryan Ferrera","06-08","Prince William County Public Schools","15000 Graduation Dr.","571-261-4400","Haymarket","20169","VA"
"Battlefield Middle","Mrs. Sheila B. Smith","06-08","Spotsylvania County Public Schools","11120 Leavells Rd","540-786-4400","Fredericksburg","22407","VA"
"Battlefield Park Elementary","Jaclyn McCaleb","07-08","Hanover County Public Schools","5501 Mechanicsville Turnpike","804-723-3600","Mechanicsville","23111","VA"
"Bay View Elementary","Dr. Laura Baez-Akbik","06-08","Norfolk Public Schools","1434 Bay View Blvd","757-531-3030","Norfolk","23503","VA"
"Bayside 6th Grade Campus","Shampriest S. Bevel","09-12","Virginia Beach Public Schools","4722 Jericho Road","757-648-4440","Virginia Beach","23462","VA"
"Bayside Elementary","Catherine Brumm","07-08","Virginia Beach Public Schools","5649 Bayside Rd","757-648-2080","Virginia Beach","23455-3410","VA"
"Bayside High","Troy A. Walton","06-08","Virginia Beach Public Schools","4960 Haygood Rd","757-648-5200","Virginia Beach","23455-5299","VA"
"Bayside Middle","Camille A. Harmon","06-08","Virginia Beach Public Schools","965 Newtown Rd","757-648-4400","Virginia Beach","23462","VA"
"Beaverdam Elementary","Glynda Smith","06-08","Hanover County Public Schools","15485 Beaverdam School Road","804-449-6373","Beaverdam","23015","VA"
"Bedford County Alternative Education Center","Katherine McNeely","09-12","Bedford County Public Schools","600 Edmund Street","540-586-1270","Bedford","24523","VA"
"Bedford Elementary","Martha Bradt","09-12","Bedford County Public Schools","806 Tiger Trail Road","540-586-0275","Bedford","24523","VA"
"Bedford Hills Elementary","Ms. Sherrie L. Steele","09-12","Lynchburg Public Schools","4330 Morningside Dr","434-515-5210","Lynchburg","24503-4325","VA"
"Bedford Primary","Ms. Lisa Dellis","06-08","Bedford County Public Schools","807 College St","540-586-8339","Bedford","24523","VA"
"Beech Tree Elementary","Karim Daugherty","05-08","Fairfax County Public Schools","3401 Beechtree Ln","703-531-2600","Falls Church","22042","VA"
"Bel Air Elementary","Antoinette McDonald","06-08","Prince William County Public Schools","14151 Ferndale Road","703-670-4050","Woodbridge","22193","VA"
"Belfast Elementary","Mrs. Christy Bowman","03-05","Russell County Public Schools","646 Belfast School Rd.","276-880-2283","Rosedale","24280","VA"
"Belfield Elementary","Ms. Mary Person","07-08","Greensville County Public Schools","515 Belfield Rd","434-634-5566","Emporia","23847-8065","VA"
"Bell Creek Middle","Dr. Quentin Ballard","06-08","Hanover County Public Schools","8021 Lee Davis Road","804-723-2260","Mechanicsville","23111","VA"
"Belle Heth Elementary","Kelly Linkenhoker","06-08","Radford Public Schools","151 George Street","540-731-3653","Radford","24141","VA"
"Belle View Elementary","Thomas Kuntz","09-12","Fairfax County Public Schools","6701 Fort Hunt Rd","703-660-8300","Alexandria","22307","VA"
"Bellwood Elementary","Jennifer Rudd","09-12","Chesterfield County Public Schools","9536 Dawnshire Rd","804-743-3600","North Chesterfield","23237-3455","VA"
"Belmont Elementary","Karen Giacometti","09-12","Prince William County Public Schools","751 Norwood Ln","703-494-4945","Woodbridge","22191","VA"
"Belmont Ridge Middle","Katie J Johnson","09-12","Loudoun County Public Schools","19045 Upper Belmont Place","571-252-2220","Leesburg","20176","VA"
"Belmont Station Elementary","Erin Timothy","06-08","Loudoun County Public Schools","20235 Nightwatch St.","571-252-2240","Ashburn","20147","VA"
"Belvedere Elementary","Cecilia Vanderhye","09-12","Fairfax County Public Schools","6540 Columbia Pike","703-916-6800","Falls Church","22041","VA"
"Belview Elementary","Ms. Lori Comer","04-05","Montgomery County Public Schools","3187 Peppers Ferry Rd","540-633-3200","Radford","24141","VA"
"Benjamin Franklin Middle","Dr. Jami Clements","09-12","Franklin County Public Schools","225 Middle School Road","540-483-5105","Rocky Mount","24151","VA"
"Benjamin Syms Middle","Ms. Patrina L. Jenkins","09-12","Hampton Public Schools","170 Fox Hill Rd","757-850-5050","Hampton","23669","VA"
"Bennett Elementary","Ms. Michelle Pohzehl","KG-5","Prince William County Public Schools","8800 Old Dominion Dr","703-361-8261","Manassas","20110","VA"
"Bensley Elementary","Dr. Patrice Wilson","PK-5","Chesterfield County Public Schools","6600 Strathmore Rd","804-743-3610","North Chesterfield","23237-1129","VA"
"Berkeley Elementary","Scott Orth","PK-5","Spotsylvania County Public Schools","5979 Partlow Road","540-582-5141","Spotsylvania","22553","VA"
"Berkeley Middle","Panagiotis Tsigaridas","06-08","Williamsburg-James City County Public Schools","1118 Ironbound Rd","757-229-8051","Williamsburg","23185","VA"
"Bessie Weller Elementary","Sandra McGrath","06-08","Staunton Public Schools","600 Greenville Ave","540-332-3940","Staunton","24401-4873","VA"
"Bethel Elementary","Ms. Eileen Kersmarki","09-12","Gloucester County Public Schools","2991 Hickory Fork Rd","804-693-2360","Gloucester","23061","VA"
"Bethel High","Mr. Ralph J. Saunders","06-08","Hampton Public Schools","1067 Big Bethel Rd","757-825-4400","Hampton","23666","VA"
"Bettie Weaver Elementary","Robin Riley","07-08","Chesterfield County Public Schools","3600 James River Rd","804-378-2540","Midlothian","23113-3718","VA"
"Beulah Elementary","Christina Allen-Roach","09-12","Chesterfield County Public Schools","5441 Beulah Rd","804-743-3620","North Chesterfield","23237-1450","VA"
"Beverley Manor Middle","Ms. Yvonne L. Howdyshell","06-08","Augusta County Public Schools","58 Cedar Green Rd","540-886-5806","Staunton","24401","VA"
"Big Island Elementary","Mr. Andy Bliss","08-12","Bedford County Public Schools","1114 Schooldays Rd","434-299-5863","Big Island","24526","VA"
"Binford Middle","Ms. Melissa Rickey","01-02","Richmond Public Schools","1701 Floyd Ave","804-780-6231","Richmond","23220-4623","VA"
"Birdneck Elementary","Karla C. Young","06-08","Virginia Beach Public Schools","957 S Birdneck Rd","757-648-2120","Virginia Beach","23451-5801","VA"
"Blacksburg High","Mr. Adam Simpson","09-12","Montgomery County Public Schools","3401 Bruin Lane","540-951-5706","Blacksburg","24060","VA"
"Blacksburg Middle","Mr. David Byrd","06-08","Montgomery County Public Schools","3109 Price's Fork Rd.","540-951-5800","Blacksburg","24060","VA"
"Blackstone Primary","Dr. Carrie Gravely","03-05","Nottoway County Public Schools","615 East Street","434-292-5300","Blackstone","23824","VA"
"Blackwell Elementary","Kate Outten","09-12","Richmond Public Schools","1600 Everett St","804-780-5078","Richmond","23224-3896","VA"
"Blair Middle","Patrick Doyle","08-12","Norfolk Public Schools","730 Spotswood Ave","757-628-2400","Norfolk","23517","VA"
"Bland County Elementary","Mike Grim","07-08","Bland County Public Schools","31 Rocket Drive","276-688-3621","Bland","24315","VA"
"Bland County High","Tyler Eastep","08-12","Bland County Public Schools","176 Eagles Road","276-928-1100","Rocky Gap","24366","VA"
"Blue Ridge Elementary","Jennifer Cox","06-08","Patrick County Public Schools","5135 Ararat Hwy","276-251-5271","Ararat","24053","VA"
"Blue Ridge Middle","Brion Bell","06-08","Loudoun County Public Schools","551 East A St","540-751-2520","Purcellville","20132","VA"
"Blue Ridge Technical Center","Mrs. Jane C. Baker","09-12","Warren County Public Schools","240 Luray Avenue","540-635-7123","Front Royal","22630","VA"
"Bluestone High","Velva Kindley","06-08","Mecklenburg County Public Schools","6825 Skipwith Road","434-372-5177","Skipwith","23968","VA"
"Bluestone Elementary","Mr. Peter Norment","06-08","Harrisonburg Public Schools","750 Garbers Church Road","540-432-3232","Harrisonburg","22801","VA"
"Bluestone Middle","Stephanie Neal","09-12","Mecklenburg County Public Schools","250 Middle School Road","434-372-3266","Skipwith","23968","VA"
"Bonnie Brae Elementary","Dwayne Young","05-07","Fairfax County Public Schools","5420 Sideburn Rd","703-321-3900","Fairfax","22032","VA"
"Bonsack Elementary","Leanne Leftwich","09-12","Roanoke County Public Schools","5437 Crumpacker Dr","540-977-5870","Roanoke","24019","VA"
"Booker T Washington High","Dr. Margarietta Hayes","09-12","Norfolk Public Schools","1111 Park Ave","757-628-3575","Norfolk","23504","VA"
"Booker T. Washington Elementary","Ms. Bernette Brock","06-08","Suffolk Public Schools","204 Walnut Street","757-934-6226","Suffolk","23434","VA"
"Boones Mill Elementary","Ms. Amy Shaver","09-12","Franklin County Public Schools","265 Taylors Rd","540-334-4000","Boones Mill","24065","VA"
"Boonsboro Elementary","Jonathan DeMaio","06-08","Bedford County Public Schools","1234 Eagle Circle","434-384-2881","Lynchburg","24503","VA"
"Botetourt Elementary","Ms. Felicia Hudgins","07-08","Gloucester County Public Schools","6361 Main Street","804-693-2151","Gloucester","23061-9712","VA"
"Bowling Green Elementary","Mrs. Cynthia Heckstall","09-12","Caroline County Public Schools","17502 New Baltimore Road","804-596-2391","Milford","22514","VA"
"Boyce Elementary","Mr. Maxwell Merick","09-12","Clarke County Public Schools","119 W Main St","540-955-6115","Boyce","22620","VA"
"Braddock Elementary","Keesha Jackson-Muir","07-08","Fairfax County Public Schools","7825 Heritage Dr","703-914-7300","Annandale","22003","VA"
"Brambleton Middle","Chad O'Brien","06-08","Loudoun County Public Schools","23070 Learning Circle","703-957-4450","Ashburn","20148","VA"
"Brandon Middle","Christy McQueeney","06-08","Virginia Beach Public Schools","1700 Pope St","757-648-4450","Virginia Beach","23464","VA"
"Breckinridge Elementary","Mr. Wyatt Turner","09-12","Botetourt County Public Schools","331 Springwood Rd","540-473-8386","Fincastle","24090","VA"
"Breckinridge Middle","Mr. Josh Dowdy","06-08","Roanoke Public Schools","3901 Williamson Rd NW","540-853-2251","Roanoke","24012","VA"
"Bren Mar Park Elementary","Elizabeth Williams","09-12","Fairfax County Public Schools","6344 Beryl Rd","703-914-7200","Alexandria","22312","VA"
"Brentsville District High","Ms. Katherine Meints","06-08","Prince William County Public Schools","12109 Aden Rd","703-594-2161","Nokesville","20181","VA"
"Briar Woods High","Sheila Alzate","06-08","Loudoun County Public Schools","22525 Belmont Ridge Road","703-957-4400","Ashburn","20148","VA"
"Brighton Elementary","Mr. Eric Garcia","06-08","Portsmouth Public Schools","1100 Portsmouth Blvd.","757-393-8870","Portsmouth","23704-5630","VA"
"Bristow Run Elementary","Rhonda Jeck","09-12","Prince William County Public Schools","8990 Worthington Dr","703-753-7741","Bristow","20136","VA"
"Broad Rock Elementary","Ms. Teya Brown-Green","09-12","Richmond Public Schools","4615 Ferguson Ln","804-780-5048","Richmond","23234-1999","VA"
"Broad Run High","David Spage","09-12","Loudoun County Public Schools","21670 Ashburn Rd","571-252-2300","Ashburn","20147","VA"
"Broadus Wood Elementary","Mrs. Amy Daniel Morris","09-12","Albemarle County Public Schools","185 Buck Mountain Road","434-973-3865","Earlysville","22936-2009","VA"
"Broadway High","Ms. Donna Abernathy","09-12","Rockingham County Public Schools","269 Gobbler Dr","540-896-7081","Broadway","22815","VA"
"Brock Road Elementary","Shonda H. Collins-Richey","08-12","Spotsylvania County Public Schools","10207 Brock Rd","540-972-3870","Spotsylvania","22553","VA"
"Brooke Point High","Mr. Timothy B. Roberts","06-08","Stafford County Public Schools","1700 Courthouse Rd","540-658-6080","Stafford","22554","VA"
"Brookfield Elementary","Ellen Mukai","06-08","Fairfax County Public Schools","4200 Lees Corner Rd","703-814-8700","Chantilly","20151-2826","VA"
"Brookland Middle","Dr. Nicholas P. Barlett","06-08","Henrico County Public Schools","9200 Lydell Dr","804-261-5000","Richmond","23228","VA"
"Brookneal Elementary","Mr. Keith Bennett","06-08","Campbell County Public Schools","133 Charlotte St.","434-376-2042","Brookneal","24528","VA"
"Brookville High","Mr. Tom Cole","06-08","Campbell County Public Schools","100 Laxton Rd","434-239-2636","Lynchburg","24502","VA"
"Brookville Middle","Mr. Edwin R. Martin","09-12","Campbell County Public Schools","320 Bee Dr","434-239-9267","Lynchburg","24502","VA"
"Brookwood Elementary","Matthew Fischi","04-07","Virginia Beach Public Schools","601 S Lynnhaven Rd","757-648-2160","Virginia Beach","23452-6598","VA"
"Brosville Elementary","Mrs. Felita F. Atkins","09-12","Pittsylvania County Public Schools","195 Bulldog Ln.","434-685-7787","Danville","24541","VA"
"Brownsville Elementary","Jason Crutchfield","09-12","Albemarle County Public Schools","5870 Rockfish Gap Turnpike","434-823-4658","Crozet","22932-3401","VA"
"Brunswick High","Dr. Ronald Thornhill","05-07","Brunswick County Public Schools","2171 Lawrenceville Plank Rd","434-848-2716","Lawrenceville","23868","VA"
"Bruton High","Arletha Dockery","09-12","York County Public Schools","185 East Rochambeau Dr","757-220-4050","Williamsburg","23188","VA"
