"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Albemarle County Public Schools","Students with Disabilities","Albemarle High",90.7,92.6
"Albemarle County Public Schools","White","Albemarle High",95.8,96.6
"Albemarle County Public Schools","All Students","Community Lab School",95.2,95.2
"Albemarle County Public Schools","Female","Community Lab School",100,100
"Albemarle County Public Schools","Male","Community Lab School",90,90
"Albemarle County Public Schools","White","Community Lab School",92.9,92.9
"Albemarle County Public Schools","All Students","Monticello High",90.7,91.3
"Albemarle County Public Schools","Black","Monticello High",100,100
"Albemarle County Public Schools","Economically Disadvantaged","Monticello High",86.2,87.2
"Albemarle County Public Schools","English Learners","Monticello High",75,75
"Albemarle County Public Schools","Female","Monticello High",91.4,92.1
"Albemarle County Public Schools","Hispanic","Monticello High",74.4,76.7
"Albemarle County Public Schools","Male","Monticello High",89.9,90.6
"Albemarle County Public Schools","Multiple Races","Monticello High",92.9,92.9
"Albemarle County Public Schools","Students with Disabilities","Monticello High",84.2,86.8
"Albemarle County Public Schools","White","Monticello High",92.4,92.9
"Albemarle County Public Schools","All Students","Western Albemarle High",99,100
"Albemarle County Public Schools","Economically Disadvantaged","Western Albemarle High",97.4,100
"Albemarle County Public Schools","Female","Western Albemarle High",98.6,100
"Albemarle County Public Schools","Hispanic","Western Albemarle High",100,100
"Albemarle County Public Schools","Male","Western Albemarle High",99.3,100
"Albemarle County Public Schools","Multiple Races","Western Albemarle High",100,100
"Albemarle County Public Schools","Students with Disabilities","Western Albemarle High",96.4,100
"Albemarle County Public Schools","White","Western Albemarle High",99.2,100
"Alexandria City Public Schools","All Students","Alexandria City High",82.1,83.7
"Alexandria City Public Schools","Asian","Alexandria City High",96,96
"Alexandria City Public Schools","Black","Alexandria City High",92.3,93.4
"Alexandria City Public Schools","Economically Disadvantaged","Alexandria City High",78,80.2
"Alexandria City Public Schools","English Learners","Alexandria City High",70.9,71.5
"Alexandria City Public Schools","Female","Alexandria City High",87.1,89
"Alexandria City Public Schools","Hispanic","Alexandria City High",68.8,71.3
"Alexandria City Public Schools","Homeless","Alexandria City High",83.3,83.3
"Alexandria City Public Schools","Male","Alexandria City High",78,79.4
"Alexandria City Public Schools","Military Connected","Alexandria City High",92.9,92.9
"Alexandria City Public Schools","Multiple Races","Alexandria City High",100,100
"Alexandria City Public Schools","Students with Disabilities","Alexandria City High",93.2,94.3
"Alexandria City Public Schools","White","Alexandria City High",97.2,97.7
"Alleghany County Public Schools","All Students","Alleghany High",97.4,97.4
"Alleghany County Public Schools","Economically Disadvantaged","Alleghany High",93.7,93.7
"Alleghany County Public Schools","Female","Alleghany High",97.3,97.3
"Alleghany County Public Schools","Male","Alleghany High",97.4,97.4
"Alleghany County Public Schools","Multiple Races","Alleghany High",100,100
"Alleghany County Public Schools","Students with Disabilities","Alleghany High",93.8,93.8
"Alleghany County Public Schools","White","Alleghany High",97,97
"Amelia County Public Schools","All Students","Amelia County High",97.8,97.8
"Amelia County Public Schools","Black","Amelia County High",97.1,97.1
"Amelia County Public Schools","Economically Disadvantaged","Amelia County High",98.5,98.5
"Amelia County Public Schools","Female","Amelia County High",98.2,98.2
"Amelia County Public Schools","Hispanic","Amelia County High",100,100
"Amelia County Public Schools","Male","Amelia County High",97.5,97.5
"Amelia County Public Schools","Students with Disabilities","Amelia County High",100,100
"Amelia County Public Schools","White","Amelia County High",97.8,97.8
"Amherst County Public Schools","All Students","Amherst County High",95.2,96.6
"Amherst County Public Schools","Black","Amherst County High",97,97
"Amherst County Public Schools","Economically Disadvantaged","Amherst County High",91.9,94.3
"Amherst County Public Schools","Female","Amherst County High",95.5,97
"Amherst County Public Schools","Hispanic","Amherst County High",100,100
"Amherst County Public Schools","Male","Amherst County High",95,96.3
"Amherst County Public Schools","Multiple Races","Amherst County High",87.5,87.5
"Amherst County Public Schools","Students with Disabilities","Amherst County High",97.6,97.6
"Amherst County Public Schools","White","Amherst County High",95.2,97.4
"Appomattox County Public Schools","All Students","Appomattox County High",91.4,96.3
"Appomattox County Public Schools","Black","Appomattox County High",89.5,92.1
"Appomattox County Public Schools","Economically Disadvantaged","Appomattox County High",85.3,94.7
"Appomattox County Public Schools","Female","Appomattox County High",96.4,97.6
"Appomattox County Public Schools","Male","Appomattox County High",86.1,94.9
"Appomattox County Public Schools","Multiple Races","Appomattox County High",100,100
"Appomattox County Public Schools","Students with Disabilities","Appomattox County High",100,100
"Appomattox County Public Schools","White","Appomattox County High",90.8,97.2
"Arlington County Public Schools","All Students","Arlington Community High",52.4,54
"Arlington County Public Schools","Economically Disadvantaged","Arlington Community High",82.4,82.4
"Arlington County Public Schools","English Learners","Arlington Community High",47.5,47.5
"Arlington County Public Schools","Female","Arlington Community High",61.3,64.5
"Arlington County Public Schools","Hispanic","Arlington Community High",42.2,42.2
"Arlington County Public Schools","Male","Arlington Community High",43.8,43.8
"Arlington County Public Schools","All Students","Wakefield High",92.9,93.3
"Arlington County Public Schools","Asian","Wakefield High",97.1,100
"Arlington County Public Schools","Black","Wakefield High",98.1,98.1
"Arlington County Public Schools","Economically Disadvantaged","Wakefield High",96,96.5
"Arlington County Public Schools","English Learners","Wakefield High",85.6,85.6
"Arlington County Public Schools","Female","Wakefield High",94,94.8
"Arlington County Public Schools","Hispanic","Wakefield High",86.1,86.5
"Arlington County Public Schools","Male","Wakefield High",91.8,91.8
"Arlington County Public Schools","Military Connected","Wakefield High",100,100
"Arlington County Public Schools","Multiple Races","Wakefield High",100,100
"Arlington County Public Schools","Students with Disabilities","Wakefield High",95.6,95.6
"Arlington County Public Schools","White","Wakefield High",100,100
"Arlington County Public Schools","All Students","Washington-Liberty High",94.7,94.7
"Arlington County Public Schools","Asian","Washington-Liberty High",98.5,98.5
"Arlington County Public Schools","Black","Washington-Liberty High",98,98
"Arlington County Public Schools","Economically Disadvantaged","Washington-Liberty High",93.5,93.5
"Arlington County Public Schools","English Learners","Washington-Liberty High",82.1,82.1
"Arlington County Public Schools","Female","Washington-Liberty High",97.3,97.3
"Arlington County Public Schools","Hispanic","Washington-Liberty High",85,85
"Arlington County Public Schools","Male","Washington-Liberty High",92.1,92.1
"Arlington County Public Schools","Military Connected","Washington-Liberty High",100,100
"Arlington County Public Schools","Multiple Races","Washington-Liberty High",100,100
"Arlington County Public Schools","Students with Disabilities","Washington-Liberty High",92.5,92.5
"Arlington County Public Schools","White","Washington-Liberty High",99.6,99.6
"Arlington County Public Schools","All Students","Yorktown High",97,97.1
"Arlington County Public Schools","Asian","Yorktown High",100,100
"Arlington County Public Schools","Black","Yorktown High",97.5,97.5
"Arlington County Public Schools","Economically Disadvantaged","Yorktown High",88.6,90
"Arlington County Public Schools","English Learners","Yorktown High",89.3,89.3
"Arlington County Public Schools","Female","Yorktown High",98.6,98.6
"Arlington County Public Schools","Hispanic","Yorktown High",87.4,87.4
"Arlington County Public Schools","Male","Yorktown High",95.4,95.7
"Arlington County Public Schools","Military Connected","Yorktown High",100,100
"Arlington County Public Schools","Multiple Races","Yorktown High",97.6,97.6
"Arlington County Public Schools","Students with Disabilities","Yorktown High",97.1,98
"Arlington County Public Schools","White","Yorktown High",98.8,99.1
"Augusta County Public Schools","All Students","Buffalo Gap High",93.8,93.8
"Augusta County Public Schools","Economically Disadvantaged","Buffalo Gap High",95.8,95.8
"Augusta County Public Schools","Female","Buffalo Gap High",98.5,98.5
"Augusta County Public Schools","Male","Buffalo Gap High",88.7,88.7
"Augusta County Public Schools","Students with Disabilities","Buffalo Gap High",86.7,86.7
"Augusta County Public Schools","White","Buffalo Gap High",93.8,93.8
"Augusta County Public Schools","All Students","Fort Defiance High",94.8,96.5
"Augusta County Public Schools","Economically Disadvantaged","Fort Defiance High",89.8,91.5
"Augusta County Public Schools","Female","Fort Defiance High",96.6,97.7
"Augusta County Public Schools","Hispanic","Fort Defiance High",92.9,92.9
"Augusta County Public Schools","Male","Fort Defiance High",92.9,95.3
"Augusta County Public Schools","Students with Disabilities","Fort Defiance High",86.7,93.3
"Augusta County Public Schools","White","Fort Defiance High",94.6,96.6
"Augusta County Public Schools","All Students","Riverheads High",94.9,97.5
"Augusta County Public Schools","Economically Disadvantaged","Riverheads High",92.1,97.4
"Augusta County Public Schools","Female","Riverheads High",96.2,98.1
"Augusta County Public Schools","Male","Riverheads High",93.9,97
"Augusta County Public Schools","White","Riverheads High",94.3,97.1
"Augusta County Public Schools","All Students","Stuarts Draft High",91.2,96.2
"Augusta County Public Schools","Economically Disadvantaged","Stuarts Draft High",84.7,91.5
"Augusta County Public Schools","Female","Stuarts Draft High",97.1,97.1
"Augusta County Public Schools","Male","Stuarts Draft High",86.7,95.6
"Augusta County Public Schools","White","Stuarts Draft High",91.6,97.2
"Augusta County Public Schools","All Students","Wilson Memorial High",94.8,95.3
"Augusta County Public Schools","Economically Disadvantaged","Wilson Memorial High",89.7,89.7
"Augusta County Public Schools","Female","Wilson Memorial High",91.8,91.8
"Augusta County Public Schools","Hispanic","Wilson Memorial High",100,100
"Augusta County Public Schools","Male","Wilson Memorial High",97.9,99
"Augusta County Public Schools","Students with Disabilities","Wilson Memorial High",95.2,95.2
"Augusta County Public Schools","White","Wilson Memorial High",94.6,95.2
"Bath County Public Schools","All Students","Bath County High",93.5,93.5
"Bath County Public Schools","Economically Disadvantaged","Bath County High",91.7,91.7
"Bath County Public Schools","Female","Bath County High",100,100
"Bath County Public Schools","Male","Bath County High",87.5,87.5
"Bath County Public Schools","White","Bath County High",92.9,92.9
"Bedford County Public Schools","All Students","Jefferson Forest High",94,96.7
"Bedford County Public Schools","Asian","Jefferson Forest High",92.9,92.9
"Bedford County Public Schools","Black","Jefferson Forest High",90,90
"Bedford County Public Schools","Economically Disadvantaged","Jefferson Forest High",82.7,90.4
"Bedford County Public Schools","Female","Jefferson Forest High",93.4,96.1
"Bedford County Public Schools","Hispanic","Jefferson Forest High",75,87.5
"Bedford County Public Schools","Male","Jefferson Forest High",94.5,97.3
"Bedford County Public Schools","Multiple Races","Jefferson Forest High",91.7,100
"Bedford County Public Schools","Students with Disabilities","Jefferson Forest High",88.2,100
"Bedford County Public Schools","White","Jefferson Forest High",95.6,97.8
"Bedford County Public Schools","All Students","Liberty High",91.8,93.9
"Bedford County Public Schools","Black","Liberty High",86.4,90.9
"Bedford County Public Schools","Economically Disadvantaged","Liberty High",89.1,92.4
"Bedford County Public Schools","Female","Liberty High",93.9,94.9
"Bedford County Public Schools","Hispanic","Liberty High",70,70
"Bedford County Public Schools","Male","Liberty High",89.7,92.8
"Bedford County Public Schools","Multiple Races","Liberty High",91.7,91.7
"Bedford County Public Schools","Students with Disabilities","Liberty High",76,76
"Bedford County Public Schools","White","Liberty High",94,96
"Bedford County Public Schools","All Students","Staunton River High",89.6,94.6
"Bedford County Public Schools","Black","Staunton River High",90.9,90.9
"Bedford County Public Schools","Economically Disadvantaged","Staunton River High",86.1,91.7
"Bedford County Public Schools","Female","Staunton River High",95.7,96.6
"Bedford County Public Schools","Hispanic","Staunton River High",76.5,82.4
"Bedford County Public Schools","Homeless","Staunton River High",78.6,78.6
"Bedford County Public Schools","Male","Staunton River High",83.7,92.7
"Bedford County Public Schools","Multiple Races","Staunton River High",90,90
"Bedford County Public Schools","Students with Disabilities","Staunton River High",80.6,83.9
"Bedford County Public Schools","White","Staunton River High",90.5,96
"Bland County Public Schools","All Students","Bland County High",95.7,95.7
"Bland County Public Schools","Economically Disadvantaged","Bland County High",94.4,94.4
"Bland County Public Schools","Female","Bland County High",95.2,95.2
"Bland County Public Schools","Male","Bland County High",96.2,96.2
"Bland County Public Schools","White","Bland County High",95.7,95.7
"Botetourt County Public Schools","All Students","James River High",96.4,97.1
"Botetourt County Public Schools","Economically Disadvantaged","James River High",82.8,86.2
"Botetourt County Public Schools","Female","James River High",95.2,95.2
"Botetourt County Public Schools","Male","James River High",97.4,98.7
"Botetourt County Public Schools","Students with Disabilities","James River High",80,80
"Botetourt County Public Schools","White","James River High",96.2,97
"Botetourt County Public Schools","All Students","Lord Botetourt High",95.4,95.7
"Botetourt County Public Schools","Economically Disadvantaged","Lord Botetourt High",91.4,91.4
"Botetourt County Public Schools","Female","Lord Botetourt High",96.8,96.8
"Botetourt County Public Schools","Male","Lord Botetourt High",93.5,94.3
"Botetourt County Public Schools","Multiple Races","Lord Botetourt High",100,100
"Botetourt County Public Schools","Students with Disabilities","Lord Botetourt High",76.9,76.9
"Botetourt County Public Schools","White","Lord Botetourt High",95.5,95.9
"Bristol City Public Schools","All Students","Virginia High",94.2,95.4
"Bristol City Public Schools","Economically Disadvantaged","Virginia High",92,93
"Bristol City Public Schools","Female","Virginia High",95.4,97.7
"Bristol City Public Schools","Male","Virginia High",93,93
"Bristol City Public Schools","Students with Disabilities","Virginia High",100,100
"Bristol City Public Schools","White","Virginia High",93.7,94.9
"Brunswick County Public Schools","All Students","Brunswick High",94.2,94.9
"Brunswick County Public Schools","Black","Brunswick High",93.2,93.2
"Brunswick County Public Schools","Economically Disadvantaged","Brunswick High",94.5,94.5
"Brunswick County Public Schools","Female","Brunswick High",100,100
"Brunswick County Public Schools","Male","Brunswick High",88.7,90.1
"Brunswick County Public Schools","Students with Disabilities","Brunswick High",92.9,92.9
"Brunswick County Public Schools","White","Brunswick High",96.4,100
"Buchanan County Public Schools","All Students","Council High ",93.8,93.8
"Buchanan County Public Schools","Economically Disadvantaged","Council High ",100,100
"Buchanan County Public Schools","Female","Council High ",90.9,90.9
"Buchanan County Public Schools","White","Council High ",93.8,93.8
"Buchanan County Public Schools","All Students","Grundy High",88.7,94.3
"Buchanan County Public Schools","Economically Disadvantaged","Grundy High",82.8,92.2
"Buchanan County Public Schools","Female","Grundy High",92.7,96.4
"Buchanan County Public Schools","Male","Grundy High",84.3,92.2
"Buchanan County Public Schools","Students with Disabilities","Grundy High",73.3,86.7
"Buchanan County Public Schools","White","Grundy High",88.3,94.2
"Buchanan County Public Schools","All Students","Hurley High",87.7,94.7
"Buchanan County Public Schools","Economically Disadvantaged","Hurley High",83.9,93.5
"Buchanan County Public Schools","Female","Hurley High",100,100
"Buchanan County Public Schools","Male","Hurley High",81.1,91.9
"Buchanan County Public Schools","Students with Disabilities","Hurley High",54.5,81.8
"Buchanan County Public Schools","White","Hurley High",87.7,94.7
"Buchanan County Public Schools","All Students","Twin Valley High",86,93
"Buchanan County Public Schools","Economically Disadvantaged","Twin Valley High",84.6,92.3
"Buchanan County Public Schools","Female","Twin Valley High",88,92
"Buchanan County Public Schools","Male","Twin Valley High",83.3,94.4
"Buchanan County Public Schools","White","Twin Valley High",85.7,92.9
"Buckingham County Public Schools","All Students","Buckingham County High",95.3,95.3
"Buckingham County Public Schools","Black","Buckingham County High",97.8,97.8
"Buckingham County Public Schools","Economically Disadvantaged","Buckingham County High",91.8,91.8
"Buckingham County Public Schools","Female","Buckingham County High",94.4,94.4
"Buckingham County Public Schools","Male","Buckingham County High",96.1,96.1
"Buckingham County Public Schools","Students with Disabilities","Buckingham County High",100,100
"Buckingham County Public Schools","White","Buckingham County High",93.5,93.5
"Buena Vista City Public Schools","All Students","Parry McCluer High",83.6,85.1
"Buena Vista City Public Schools","Economically Disadvantaged","Parry McCluer High",70.8,75
"Buena Vista City Public Schools","Female","Parry McCluer High",92.3,92.3
"Buena Vista City Public Schools","Male","Parry McCluer High",78,80.5
"Buena Vista City Public Schools","White","Parry McCluer High",81.4,83.1
"Campbell County Public Schools","All Students","Altavista High",87.6,95.5
"Campbell County Public Schools","Black","Altavista High",90.5,90.5
"Campbell County Public Schools","Economically Disadvantaged","Altavista High",85.7,95.9
"Campbell County Public Schools","Female","Altavista High",87.8,92.7
"Campbell County Public Schools","Male","Altavista High",87.5,97.9
"Campbell County Public Schools","White","Altavista High",87.3,98.2
"Campbell County Public Schools","All Students","Brookville High",94.2,96.7
"Campbell County Public Schools","Black","Brookville High",92.9,92.9
"Campbell County Public Schools","Economically Disadvantaged","Brookville High",92.2,95.6
"Campbell County Public Schools","Female","Brookville High",95.6,97.4
"Campbell County Public Schools","Male","Brookville High",92.9,96
"Campbell County Public Schools","Multiple Races","Brookville High",100,100
"Campbell County Public Schools","Students with Disabilities","Brookville High",100,100
"Campbell County Public Schools","White","Brookville High",94.6,97.8
"Campbell County Public Schools","All Students","Rustburg High",96.8,97.7
"Campbell County Public Schools","Black","Rustburg High",97.1,97.1
"Campbell County Public Schools","Economically Disadvantaged","Rustburg High",95.1,97.1
"Campbell County Public Schools","Female","Rustburg High",97.1,98.1
"Campbell County Public Schools","Male","Rustburg High",96.5,97.4
"Campbell County Public Schools","Multiple Races","Rustburg High",100,100
"Campbell County Public Schools","White","Rustburg High",97,98.2
"Campbell County Public Schools","All Students","William Campbell High",95.3,96.9
"Campbell County Public Schools","Black","William Campbell High",100,100
"Campbell County Public Schools","Economically Disadvantaged","William Campbell High",92.1,94.7
"Campbell County Public Schools","Female","William Campbell High",100,100
"Campbell County Public Schools","Male","William Campbell High",90.9,93.9
"Campbell County Public Schools","White","William Campbell High",92.9,95.2
"Caroline County Public Schools","All Students","Caroline High",89.5,90.5
"Caroline County Public Schools","Black","Caroline High",92.8,92.8
"Caroline County Public Schools","Economically Disadvantaged","Caroline High",93.6,94.4
"Caroline County Public Schools","Female","Caroline High",92.8,92.8
"Caroline County Public Schools","Hispanic","Caroline High",80,80
"Caroline County Public Schools","Male","Caroline High",86.3,88.4
"Caroline County Public Schools","Multiple Races","Caroline High",96.6,96.6
"Caroline County Public Schools","Students with Disabilities","Caroline High",82.1,85.7
"Caroline County Public Schools","White","Caroline High",86.4,88.6
"Carroll County Public Schools","All Students","Carroll County High",94.5,96.3
"Carroll County Public Schools","Economically Disadvantaged","Carroll County High",90.6,94.5
"Carroll County Public Schools","Female","Carroll County High",96.4,98.6
"Carroll County Public Schools","Hispanic","Carroll County High",93.3,93.3
"Carroll County Public Schools","Male","Carroll County High",92.5,94
"Carroll County Public Schools","Students with Disabilities","Carroll County High",93.3,95.6
"Carroll County Public Schools","White","Carroll County High",94.8,96.8
"Charles City County Public Schools","All Students","Charles City County High",92.2,92.2
"Charles City County Public Schools","Black","Charles City County High",90.9,90.9
"Charles City County Public Schools","Economically Disadvantaged","Charles City County High",90.5,90.5
"Charles City County Public Schools","Female","Charles City County High",95.5,95.5
"Charles City County Public Schools","Male","Charles City County High",89.7,89.7
"Charles City County Public Schools","White","Charles City County High",93.3,93.3
"Charlotte County Public Schools","All Students","Randolph-Henry High",90.8,95.4
"Charlotte County Public Schools","Black","Randolph-Henry High",95.1,100
"Charlotte County Public Schools","Economically Disadvantaged","Randolph-Henry High",90.7,96
"Charlotte County Public Schools","Female","Randolph-Henry High",96.6,98.3
"Charlotte County Public Schools","Male","Randolph-Henry High",86.1,93.1
"Charlotte County Public Schools","Students with Disabilities","Randolph-Henry High",90.9,95.5
"Charlotte County Public Schools","White","Randolph-Henry High",88.8,92.5
"Charlottesville City Public Schools","All Students","Charlottesville High",94.5,94.5
"Charlottesville City Public Schools","Asian","Charlottesville High",78.6,78.6
"Charlottesville City Public Schools","Black","Charlottesville High",96.7,96.7
"Charlottesville City Public Schools","Economically Disadvantaged","Charlottesville High",92.6,92.6
"Charlottesville City Public Schools","English Learners","Charlottesville High",69,69
"Charlottesville City Public Schools","Female","Charlottesville High",94.6,94.6
"Charlottesville City Public Schools","Hispanic","Charlottesville High",77.1,77.1
"Charlottesville City Public Schools","Male","Charlottesville High",94.4,94.4
"Charlottesville City Public Schools","Multiple Races","Charlottesville High",91.3,91.3
"Charlottesville City Public Schools","Students with Disabilities","Charlottesville High",95.6,95.6
"Charlottesville City Public Schools","White","Charlottesville High",99.3,99.3
"Chesapeake City Public Schools","All Students","Deep Creek High",90.6,93.2
"Chesapeake City Public Schools","Asian","Deep Creek High",100,100
"Chesapeake City Public Schools","Black","Deep Creek High",89.7,93.8
"Chesapeake City Public Schools","Economically Disadvantaged","Deep Creek High",90.4,92.8
"Chesapeake City Public Schools","English Learners","Deep Creek High",60,60
"Chesapeake City Public Schools","Female","Deep Creek High",92.4,95.7
"Chesapeake City Public Schools","Hispanic","Deep Creek High",85.4,85.4
"Chesapeake City Public Schools","Male","Deep Creek High",88.9,90.9
"Chesapeake City Public Schools","Military Connected","Deep Creek High",100,100
"Chesapeake City Public Schools","Multiple Races","Deep Creek High",96.2,100
"Chesapeake City Public Schools","Students with Disabilities","Deep Creek High",88.5,91.8
"Chesapeake City Public Schools","White","Deep Creek High",91.3,93.3
"Chesapeake City Public Schools","All Students","Grassfield High",97.5,97.5
"Chesapeake City Public Schools","Asian","Grassfield High",100,100
"Chesapeake City Public Schools","Black","Grassfield High",95.9,95.9
"Chesapeake City Public Schools","Economically Disadvantaged","Grassfield High",95.4,95.4
"Chesapeake City Public Schools","Female","Grassfield High",97.9,97.9
"Chesapeake City Public Schools","Hispanic","Grassfield High",96.7,96.7
"Chesapeake City Public Schools","Male","Grassfield High",97.1,97.1
"Chesapeake City Public Schools","Military Connected","Grassfield High",98.7,98.7
"Chesapeake City Public Schools","Multiple Races","Grassfield High",98,98
"Chesapeake City Public Schools","Students with Disabilities","Grassfield High",96.5,96.5
"Chesapeake City Public Schools","White","Grassfield High",97.7,97.7
"Chesapeake City Public Schools","All Students","Great Bridge High",96,97.2
"Chesapeake City Public Schools","Black","Great Bridge High",93.8,93.8
"Chesapeake City Public Schools","Economically Disadvantaged","Great Bridge High",97.4,98.7
"Chesapeake City Public Schools","Female","Great Bridge High",97.1,97.7
"Chesapeake City Public Schools","Hispanic","Great Bridge High",90.3,93.5
"Chesapeake City Public Schools","Male","Great Bridge High",94.9,96.6
"Chesapeake City Public Schools","Military Connected","Great Bridge High",100,100
"Chesapeake City Public Schools","Multiple Races","Great Bridge High",96.6,100
"Chesapeake City Public Schools","Students with Disabilities","Great Bridge High",86.1,91.7
"Chesapeake City Public Schools","White","Great Bridge High",97.6,98.5
"Chesapeake City Public Schools","All Students","Hickory High",98.1,98.8
"Chesapeake City Public Schools","Black","Hickory High",97.4,97.4
"Chesapeake City Public Schools","Economically Disadvantaged","Hickory High",95,95
"Chesapeake City Public Schools","Female","Hickory High",99,99.5
"Chesapeake City Public Schools","Hispanic","Hickory High",97.2,97.2
"Chesapeake City Public Schools","Male","Hickory High",97.1,98.1
"Chesapeake City Public Schools","Military Connected","Hickory High",98.4,100
"Chesapeake City Public Schools","Multiple Races","Hickory High",100,100
"Chesapeake City Public Schools","Students with Disabilities","Hickory High",97.9,97.9
"Chesapeake City Public Schools","White","Hickory High",98.1,99
"Chesapeake City Public Schools","All Students","Indian River High",90.2,94
"Chesapeake City Public Schools","Asian","Indian River High",83.3,83.3
"Chesapeake City Public Schools","Black","Indian River High",91.3,93.1
"Chesapeake City Public Schools","Economically Disadvantaged","Indian River High",90.4,93.6
"Chesapeake City Public Schools","Female","Indian River High",93.8,96.4
"Chesapeake City Public Schools","Hispanic","Indian River High",90.7,97.7
"Chesapeake City Public Schools","Male","Indian River High",86.7,91.6
"Chesapeake City Public Schools","Military Connected","Indian River High",97.1,97.1
"Chesapeake City Public Schools","Multiple Races","Indian River High",92.9,92.9
"Chesapeake City Public Schools","Students with Disabilities","Indian River High",81.5,89.2
"Chesapeake City Public Schools","White","Indian River High",87.5,95.8
"Chesapeake City Public Schools","All Students","Oscar F. Smith High",92.2,94.2
"Chesapeake City Public Schools","Asian","Oscar F. Smith High",100,100
"Chesapeake City Public Schools","Black","Oscar F. Smith High",91.8,94.4
"Chesapeake City Public Schools","Economically Disadvantaged","Oscar F. Smith High",93.9,95.5
"Chesapeake City Public Schools","English Learners","Oscar F. Smith High",76.5,82.4
"Chesapeake City Public Schools","Female","Oscar F. Smith High",92.5,94.8
"Chesapeake City Public Schools","Hispanic","Oscar F. Smith High",93.2,94.9
"Chesapeake City Public Schools","Male","Oscar F. Smith High",92,93.7
"Chesapeake City Public Schools","Military Connected","Oscar F. Smith High",97.6,100
"Chesapeake City Public Schools","Multiple Races","Oscar F. Smith High",100,100
"Chesapeake City Public Schools","Students with Disabilities","Oscar F. Smith High",91.7,91.7
"Chesapeake City Public Schools","White","Oscar F. Smith High",89.8,91.3
"Chesapeake City Public Schools","All Students","Western Branch High",93.2,94.2
"Chesapeake City Public Schools","Asian","Western Branch High",95.5,95.5
"Chesapeake City Public Schools","Black","Western Branch High",94.1,94.6
"Chesapeake City Public Schools","Economically Disadvantaged","Western Branch High",94.1,95.6
"Chesapeake City Public Schools","Female","Western Branch High",95,96.3
"Chesapeake City Public Schools","Hispanic","Western Branch High",94.1,94.1
"Chesapeake City Public Schools","Male","Western Branch High",91.6,92.4
"Chesapeake City Public Schools","Military Connected","Western Branch High",97.4,98.7
"Chesapeake City Public Schools","Multiple Races","Western Branch High",91.5,93.6
"Chesapeake City Public Schools","Students with Disabilities","Western Branch High",92.3,93.6
"Chesapeake City Public Schools","White","Western Branch High",93.2,94.6
"Chesterfield County Public Schools","All Students","Carver College and Career Academy",49.3,71.6
"Chesterfield County Public Schools","Black","Carver College and Career Academy",81.8,88.6
"Chesterfield County Public Schools","Economically Disadvantaged","Carver College and Career Academy",58.4,78.7
"Chesterfield County Public Schools","English Learners","Carver College and Career Academy",33.3,41.7
"Chesterfield County Public Schools","Female","Carver College and Career Academy",44.8,70.7
"Chesterfield County Public Schools","Hispanic","Carver College and Career Academy",31.8,54.5
"Chesterfield County Public Schools","Male","Carver College and Career Academy",52.6,72.4
"Chesterfield County Public Schools","Multiple Races","Carver College and Career Academy",66.7,83.3
"Chesterfield County Public Schools","Students with Disabilities","Carver College and Career Academy",59.3,70.4
"Chesterfield County Public Schools","White","Carver College and Career Academy",26.8,62.5
