"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Accomack County Public Schools","Metompkin Elementary","All Students",89.5,10.5
"Accomack County Public Schools","Metompkin Elementary","Asian",100,0
"Accomack County Public Schools","Metompkin Elementary","Black",90.5,9.5
"Accomack County Public Schools","Metompkin Elementary","Economically Disadvantaged",89.5,10.5
"Accomack County Public Schools","Metompkin Elementary","English Learners",95.4,4.6
"Accomack County Public Schools","Metompkin Elementary","Female",91.8,8.2
"Accomack County Public Schools","Metompkin Elementary","Hispanic",94.1,5.9
"Accomack County Public Schools","Metompkin Elementary","Homeless",NA,NA
"Accomack County Public Schools","Metompkin Elementary","Male",87.5,12.5
"Accomack County Public Schools","Metompkin Elementary","Multiple Races",75,25
"Accomack County Public Schools","Metompkin Elementary","Students with Disabilities",90,10
"Accomack County Public Schools","Metompkin Elementary","White",81.2,18.8
"Accomack County Public Schools","Nandua High","All Students",91.8,8.2
"Accomack County Public Schools","Nandua High","American Indian",NA,NA
"Accomack County Public Schools","Nandua High","Asian",100,0
"Accomack County Public Schools","Nandua High","Black",88.3,11.7
"Accomack County Public Schools","Nandua High","Economically Disadvantaged",89.2,10.8
"Accomack County Public Schools","Nandua High","English Learners",97.1,2.9
"Accomack County Public Schools","Nandua High","Female",94.6,5.4
"Accomack County Public Schools","Nandua High","Hispanic",95,5
"Accomack County Public Schools","Nandua High","Homeless",NA,NA
"Accomack County Public Schools","Nandua High","Male",89.5,10.5
"Accomack County Public Schools","Nandua High","Multiple Races",100,0
"Accomack County Public Schools","Nandua High","Native Hawaiian",NA,NA
"Accomack County Public Schools","Nandua High","Students with Disabilities",84.8,15.2
"Accomack County Public Schools","Nandua High","White",93.8,6.2
"Accomack County Public Schools","Nandua Middle","All Students",92.5,7.5
"Accomack County Public Schools","Nandua Middle","Asian",100,0
"Accomack County Public Schools","Nandua Middle","Black",91.6,8.4
"Accomack County Public Schools","Nandua Middle","Economically Disadvantaged",90.9,9.1
"Accomack County Public Schools","Nandua Middle","English Learners",100,0
"Accomack County Public Schools","Nandua Middle","Female",91.7,8.3
"Accomack County Public Schools","Nandua Middle","Hispanic",97.5,2.5
"Accomack County Public Schools","Nandua Middle","Homeless",NA,NA
"Accomack County Public Schools","Nandua Middle","Male",93.3,6.7
"Accomack County Public Schools","Nandua Middle","Multiple Races",40,60
"Accomack County Public Schools","Nandua Middle","Native Hawaiian",NA,NA
"Accomack County Public Schools","Nandua Middle","Students with Disabilities",89.8,10.2
"Accomack County Public Schools","Nandua Middle","White",92.1,7.9
"Accomack County Public Schools","Pungoteague Elementary","All Students",89.6,10.4
"Accomack County Public Schools","Pungoteague Elementary","American Indian",NA,NA
"Accomack County Public Schools","Pungoteague Elementary","Asian",100,0
"Accomack County Public Schools","Pungoteague Elementary","Black",88,12
"Accomack County Public Schools","Pungoteague Elementary","Economically Disadvantaged",87.9,12.1
"Accomack County Public Schools","Pungoteague Elementary","English Learners",98.3,1.7
"Accomack County Public Schools","Pungoteague Elementary","Female",90.6,9.4
"Accomack County Public Schools","Pungoteague Elementary","Hispanic",98.1,1.9
"Accomack County Public Schools","Pungoteague Elementary","Homeless",NA,NA
"Accomack County Public Schools","Pungoteague Elementary","Male",88.7,11.3
"Accomack County Public Schools","Pungoteague Elementary","Multiple Races",66.7,33.3
"Accomack County Public Schools","Pungoteague Elementary","Native Hawaiian",NA,NA
"Accomack County Public Schools","Pungoteague Elementary","Students with Disabilities",78.5,21.5
"Accomack County Public Schools","Pungoteague Elementary","White",89.8,10.2
"Accomack County Public Schools","Tangier Combined","All Students",84.4,15.6
"Accomack County Public Schools","Tangier Combined","Economically Disadvantaged",64.3,35.7
"Accomack County Public Schools","Tangier Combined","Female",81.8,18.2
"Accomack County Public Schools","Tangier Combined","Male",87,13
"Accomack County Public Schools","Tangier Combined","Students with Disabilities",50,50
"Accomack County Public Schools","Tangier Combined","White",84.4,15.6
"Albemarle County Public Schools","Agnor-Hurt Elementary","All Students",90.6,9.4
"Albemarle County Public Schools","Agnor-Hurt Elementary","Asian",77.8,22.2
"Albemarle County Public Schools","Agnor-Hurt Elementary","Black",91.1,8.9
"Albemarle County Public Schools","Agnor-Hurt Elementary","Economically Disadvantaged",88.2,11.8
"Albemarle County Public Schools","Agnor-Hurt Elementary","English Learners",87.9,12.1
"Albemarle County Public Schools","Agnor-Hurt Elementary","Female",89.4,10.6
"Albemarle County Public Schools","Agnor-Hurt Elementary","Hispanic",88.7,11.3
"Albemarle County Public Schools","Agnor-Hurt Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Agnor-Hurt Elementary","Male",91.6,8.4
"Albemarle County Public Schools","Agnor-Hurt Elementary","Multiple Races",90.4,9.6
"Albemarle County Public Schools","Agnor-Hurt Elementary","Students with Disabilities",83.9,16.1
"Albemarle County Public Schools","Agnor-Hurt Elementary","White",92.9,7.1
"Albemarle County Public Schools","Albemarle High","All Students",91.2,8.8
"Albemarle County Public Schools","Albemarle High","American Indian",NA,NA
"Albemarle County Public Schools","Albemarle High","Asian",93.8,6.2
"Albemarle County Public Schools","Albemarle High","Black",87.2,12.8
"Albemarle County Public Schools","Albemarle High","Economically Disadvantaged",85.6,14.4
"Albemarle County Public Schools","Albemarle High","English Learners",82,18
"Albemarle County Public Schools","Albemarle High","Female",92,8
"Albemarle County Public Schools","Albemarle High","Hispanic",85.3,14.7
"Albemarle County Public Schools","Albemarle High","Homeless",NA,NA
"Albemarle County Public Schools","Albemarle High","Male",90.5,9.5
"Albemarle County Public Schools","Albemarle High","Multiple Races",93.3,6.7
"Albemarle County Public Schools","Albemarle High","Students with Disabilities",87.4,12.6
"Albemarle County Public Schools","Albemarle High","White",93.1,6.9
"Albemarle County Public Schools","Baker-Butler Elem","All Students",91,9
"Albemarle County Public Schools","Baker-Butler Elem","Asian",91.7,8.3
"Albemarle County Public Schools","Baker-Butler Elem","Black",92.5,7.5
"Albemarle County Public Schools","Baker-Butler Elem","Economically Disadvantaged",85.5,14.5
"Albemarle County Public Schools","Baker-Butler Elem","English Learners",90.5,9.5
"Albemarle County Public Schools","Baker-Butler Elem","Female",91.5,8.5
"Albemarle County Public Schools","Baker-Butler Elem","Hispanic",87.5,12.5
"Albemarle County Public Schools","Baker-Butler Elem","Homeless",NA,NA
"Albemarle County Public Schools","Baker-Butler Elem","Male",90.5,9.5
"Albemarle County Public Schools","Baker-Butler Elem","Multiple Races",96.1,3.9
"Albemarle County Public Schools","Baker-Butler Elem","Students with Disabilities",86.8,13.2
"Albemarle County Public Schools","Baker-Butler Elem","White",90.8,9.2
"Albemarle County Public Schools","Broadus Wood Elementary","All Students",94.2,5.8
"Albemarle County Public Schools","Broadus Wood Elementary","American Indian",NA,NA
"Albemarle County Public Schools","Broadus Wood Elementary","Asian",100,0
"Albemarle County Public Schools","Broadus Wood Elementary","Black",100,0
"Albemarle County Public Schools","Broadus Wood Elementary","Economically Disadvantaged",80.4,19.6
"Albemarle County Public Schools","Broadus Wood Elementary","English Learners",80,20
"Albemarle County Public Schools","Broadus Wood Elementary","Female",92.4,7.6
"Albemarle County Public Schools","Broadus Wood Elementary","Hispanic",84.6,15.4
"Albemarle County Public Schools","Broadus Wood Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Broadus Wood Elementary","Male",95.7,4.3
"Albemarle County Public Schools","Broadus Wood Elementary","Multiple Races",85.7,14.3
"Albemarle County Public Schools","Broadus Wood Elementary","Students with Disabilities",72,28
"Albemarle County Public Schools","Broadus Wood Elementary","White",95.2,4.8
"Albemarle County Public Schools","Brownsville Elementary","All Students",95,5
"Albemarle County Public Schools","Brownsville Elementary","Asian",97,3
"Albemarle County Public Schools","Brownsville Elementary","Black",85.7,14.3
"Albemarle County Public Schools","Brownsville Elementary","Economically Disadvantaged",79.2,20.8
"Albemarle County Public Schools","Brownsville Elementary","English Learners",100,0
"Albemarle County Public Schools","Brownsville Elementary","Female",94,6
"Albemarle County Public Schools","Brownsville Elementary","Hispanic",93,7
"Albemarle County Public Schools","Brownsville Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Brownsville Elementary","Male",95.8,4.2
"Albemarle County Public Schools","Brownsville Elementary","Multiple Races",97.9,2.1
"Albemarle County Public Schools","Brownsville Elementary","Students with Disabilities",92.8,7.2
"Albemarle County Public Schools","Brownsville Elementary","White",95.1,4.9
"Albemarle County Public Schools","Community Lab School","All Students",71.3,28.7
"Albemarle County Public Schools","Community Lab School","Asian",100,0
"Albemarle County Public Schools","Community Lab School","Black",100,0
"Albemarle County Public Schools","Community Lab School","Economically Disadvantaged",60.9,39.1
"Albemarle County Public Schools","Community Lab School","Female",68.8,31.2
"Albemarle County Public Schools","Community Lab School","Hispanic",40,60
"Albemarle County Public Schools","Community Lab School","Male",75,25
"Albemarle County Public Schools","Community Lab School","Multiple Races",100,0
"Albemarle County Public Schools","Community Lab School","Students with Disabilities",66.7,33.3
"Albemarle County Public Schools","Community Lab School","White",69.2,30.8
"Albemarle County Public Schools","Crozet Elementary","All Students",90.8,9.2
"Albemarle County Public Schools","Crozet Elementary","Asian",100,0
"Albemarle County Public Schools","Crozet Elementary","Black",71.4,28.6
"Albemarle County Public Schools","Crozet Elementary","Economically Disadvantaged",76.9,23.1
"Albemarle County Public Schools","Crozet Elementary","English Learners",90,10
"Albemarle County Public Schools","Crozet Elementary","Female",91.9,8.1
"Albemarle County Public Schools","Crozet Elementary","Hispanic",76.2,23.8
"Albemarle County Public Schools","Crozet Elementary","Male",89.8,10.2
"Albemarle County Public Schools","Crozet Elementary","Multiple Races",88.2,11.8
"Albemarle County Public Schools","Crozet Elementary","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Crozet Elementary","Students with Disabilities",76.3,23.7
"Albemarle County Public Schools","Crozet Elementary","White",92.1,7.9
"Albemarle County Public Schools","Hollymead Elementary","All Students",97.9,2.1
"Albemarle County Public Schools","Hollymead Elementary","American Indian",NA,NA
"Albemarle County Public Schools","Hollymead Elementary","Asian",98.8,1.2
"Albemarle County Public Schools","Hollymead Elementary","Black",100,0
"Albemarle County Public Schools","Hollymead Elementary","Economically Disadvantaged",98,2
"Albemarle County Public Schools","Hollymead Elementary","English Learners",100,0
"Albemarle County Public Schools","Hollymead Elementary","Female",98.1,1.9
"Albemarle County Public Schools","Hollymead Elementary","Hispanic",100,0
"Albemarle County Public Schools","Hollymead Elementary","Male",97.7,2.3
"Albemarle County Public Schools","Hollymead Elementary","Multiple Races",100,0
"Albemarle County Public Schools","Hollymead Elementary","Students with Disabilities",96.6,3.4
"Albemarle County Public Schools","Hollymead Elementary","White",96.9,3.1
"Albemarle County Public Schools","Jack Jouett Middle","All Students",85.3,14.7
"Albemarle County Public Schools","Jack Jouett Middle","American Indian",NA,NA
"Albemarle County Public Schools","Jack Jouett Middle","Asian",90.3,9.7
"Albemarle County Public Schools","Jack Jouett Middle","Black",80.1,19.9
"Albemarle County Public Schools","Jack Jouett Middle","Economically Disadvantaged",78.4,21.6
"Albemarle County Public Schools","Jack Jouett Middle","English Learners",85.1,14.9
"Albemarle County Public Schools","Jack Jouett Middle","Female",85.5,14.5
"Albemarle County Public Schools","Jack Jouett Middle","Hispanic",84.7,15.3
"Albemarle County Public Schools","Jack Jouett Middle","Homeless",NA,NA
"Albemarle County Public Schools","Jack Jouett Middle","Male",85,15
"Albemarle County Public Schools","Jack Jouett Middle","Multiple Races",80,20
"Albemarle County Public Schools","Jack Jouett Middle","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Jack Jouett Middle","Students with Disabilities",78.4,21.6
"Albemarle County Public Schools","Jack Jouett Middle","White",89.3,10.7
"Albemarle County Public Schools","Jackson P. Burley Middle","All Students",88.9,11.1
"Albemarle County Public Schools","Jackson P. Burley Middle","Asian",96.3,3.7
"Albemarle County Public Schools","Jackson P. Burley Middle","Black",89.9,10.1
"Albemarle County Public Schools","Jackson P. Burley Middle","Economically Disadvantaged",80.2,19.8
"Albemarle County Public Schools","Jackson P. Burley Middle","English Learners",86.5,13.5
"Albemarle County Public Schools","Jackson P. Burley Middle","Female",92.7,7.3
"Albemarle County Public Schools","Jackson P. Burley Middle","Hispanic",85.6,14.4
"Albemarle County Public Schools","Jackson P. Burley Middle","Homeless",NA,NA
"Albemarle County Public Schools","Jackson P. Burley Middle","Male",85.4,14.6
"Albemarle County Public Schools","Jackson P. Burley Middle","Multiple Races",87.8,12.2
"Albemarle County Public Schools","Jackson P. Burley Middle","Students with Disabilities",78.8,21.2
"Albemarle County Public Schools","Jackson P. Burley Middle","White",89.3,10.7
"Albemarle County Public Schools","Joseph T. Henley Middle","All Students",90.8,9.2
"Albemarle County Public Schools","Joseph T. Henley Middle","American Indian",NA,NA
"Albemarle County Public Schools","Joseph T. Henley Middle","Asian",95,5
"Albemarle County Public Schools","Joseph T. Henley Middle","Black",100,0
"Albemarle County Public Schools","Joseph T. Henley Middle","Economically Disadvantaged",70.2,29.8
"Albemarle County Public Schools","Joseph T. Henley Middle","English Learners",100,0
"Albemarle County Public Schools","Joseph T. Henley Middle","Female",92.9,7.1
"Albemarle County Public Schools","Joseph T. Henley Middle","Hispanic",93.5,6.5
"Albemarle County Public Schools","Joseph T. Henley Middle","Homeless",NA,NA
"Albemarle County Public Schools","Joseph T. Henley Middle","Male",88.9,11.1
"Albemarle County Public Schools","Joseph T. Henley Middle","Multiple Races",85.2,14.8
"Albemarle County Public Schools","Joseph T. Henley Middle","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Joseph T. Henley Middle","Students with Disabilities",68.8,31.2
"Albemarle County Public Schools","Joseph T. Henley Middle","White",90.4,9.6
"Albemarle County Public Schools","Lakeside Middle","All Students",92.7,7.3
"Albemarle County Public Schools","Lakeside Middle","American Indian",NA,NA
"Albemarle County Public Schools","Lakeside Middle","Asian",100,0
"Albemarle County Public Schools","Lakeside Middle","Black",93,7
"Albemarle County Public Schools","Lakeside Middle","Economically Disadvantaged",86.4,13.6
"Albemarle County Public Schools","Lakeside Middle","English Learners",97.9,2.1
"Albemarle County Public Schools","Lakeside Middle","Female",92.5,7.5
"Albemarle County Public Schools","Lakeside Middle","Hispanic",89.8,10.2
"Albemarle County Public Schools","Lakeside Middle","Homeless",NA,NA
"Albemarle County Public Schools","Lakeside Middle","Male",93,7
"Albemarle County Public Schools","Lakeside Middle","Multiple Races",88.9,11.1
"Albemarle County Public Schools","Lakeside Middle","Students with Disabilities",89.3,10.7
"Albemarle County Public Schools","Lakeside Middle","White",92.3,7.7
"Albemarle County Public Schools","Leslie H. Walton Middle","All Students",86.8,13.2
"Albemarle County Public Schools","Leslie H. Walton Middle","Asian",100,0
"Albemarle County Public Schools","Leslie H. Walton Middle","Black",97,3
"Albemarle County Public Schools","Leslie H. Walton Middle","Economically Disadvantaged",76.2,23.8
"Albemarle County Public Schools","Leslie H. Walton Middle","English Learners",88.2,11.8
"Albemarle County Public Schools","Leslie H. Walton Middle","Female",89.9,10.1
"Albemarle County Public Schools","Leslie H. Walton Middle","Hispanic",87.5,12.5
"Albemarle County Public Schools","Leslie H. Walton Middle","Homeless",NA,NA
"Albemarle County Public Schools","Leslie H. Walton Middle","Male",83.4,16.6
"Albemarle County Public Schools","Leslie H. Walton Middle","Multiple Races",88.9,11.1
"Albemarle County Public Schools","Leslie H. Walton Middle","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Leslie H. Walton Middle","Students with Disabilities",81.5,18.5
"Albemarle County Public Schools","Leslie H. Walton Middle","White",84.9,15.1
"Albemarle County Public Schools","Mary Carr Greer Elementary","All Students",89.5,10.5
"Albemarle County Public Schools","Mary Carr Greer Elementary","Asian",88.7,11.3
"Albemarle County Public Schools","Mary Carr Greer Elementary","Black",88.1,11.9
"Albemarle County Public Schools","Mary Carr Greer Elementary","Economically Disadvantaged",86.5,13.5
"Albemarle County Public Schools","Mary Carr Greer Elementary","English Learners",86.7,13.3
"Albemarle County Public Schools","Mary Carr Greer Elementary","Female",87.5,12.5
"Albemarle County Public Schools","Mary Carr Greer Elementary","Hispanic",87.4,12.6
"Albemarle County Public Schools","Mary Carr Greer Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Mary Carr Greer Elementary","Male",91.6,8.4
"Albemarle County Public Schools","Mary Carr Greer Elementary","Multiple Races",90.9,9.1
"Albemarle County Public Schools","Mary Carr Greer Elementary","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Mary Carr Greer Elementary","Students with Disabilities",91.9,8.1
"Albemarle County Public Schools","Mary Carr Greer Elementary","White",92.9,7.1
"Albemarle County Public Schools","Meriwether Lewis Elementary","All Students",94.1,5.9
"Albemarle County Public Schools","Meriwether Lewis Elementary","Asian",88.9,11.1
"Albemarle County Public Schools","Meriwether Lewis Elementary","Black",100,0
"Albemarle County Public Schools","Meriwether Lewis Elementary","Economically Disadvantaged",85.7,14.3
"Albemarle County Public Schools","Meriwether Lewis Elementary","English Learners",100,0
"Albemarle County Public Schools","Meriwether Lewis Elementary","Female",93.9,6.1
"Albemarle County Public Schools","Meriwether Lewis Elementary","Hispanic",100,0
"Albemarle County Public Schools","Meriwether Lewis Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Meriwether Lewis Elementary","Male",94.2,5.8
"Albemarle County Public Schools","Meriwether Lewis Elementary","Multiple Races",75,25
"Albemarle County Public Schools","Meriwether Lewis Elementary","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Meriwether Lewis Elementary","Students with Disabilities",94.7,5.3
"Albemarle County Public Schools","Meriwether Lewis Elementary","White",94.3,5.7
"Albemarle County Public Schools","Monticello High","All Students",88,12
"Albemarle County Public Schools","Monticello High","American Indian",NA,NA
"Albemarle County Public Schools","Monticello High","Asian",96.3,3.7
"Albemarle County Public Schools","Monticello High","Black",92.5,7.5
"Albemarle County Public Schools","Monticello High","Economically Disadvantaged",80.6,19.4
"Albemarle County Public Schools","Monticello High","English Learners",79.7,20.3
"Albemarle County Public Schools","Monticello High","Female",87.4,12.6
"Albemarle County Public Schools","Monticello High","Hispanic",84.9,15.1
"Albemarle County Public Schools","Monticello High","Homeless",NA,NA
"Albemarle County Public Schools","Monticello High","Male",88.6,11.4
"Albemarle County Public Schools","Monticello High","Multiple Races",89.4,10.6
"Albemarle County Public Schools","Monticello High","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Monticello High","Students with Disabilities",79.9,20.1
"Albemarle County Public Schools","Monticello High","White",87.5,12.5
"Albemarle County Public Schools","Mountain View Elementary","All Students",92,8
"Albemarle County Public Schools","Mountain View Elementary","American Indian",NA,NA
"Albemarle County Public Schools","Mountain View Elementary","Asian",77.8,22.2
"Albemarle County Public Schools","Mountain View Elementary","Black",93.5,6.5
"Albemarle County Public Schools","Mountain View Elementary","Economically Disadvantaged",87.2,12.8
"Albemarle County Public Schools","Mountain View Elementary","English Learners",88.1,11.9
"Albemarle County Public Schools","Mountain View Elementary","Female",91.7,8.3
"Albemarle County Public Schools","Mountain View Elementary","Hispanic",88.1,11.9
"Albemarle County Public Schools","Mountain View Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Mountain View Elementary","Male",92.2,7.8
"Albemarle County Public Schools","Mountain View Elementary","Multiple Races",89.1,10.9
"Albemarle County Public Schools","Mountain View Elementary","Students with Disabilities",92.7,7.3
"Albemarle County Public Schools","Mountain View Elementary","White",95.5,4.5
"Albemarle County Public Schools","Red Hill Elementary","All Students",87.2,12.8
"Albemarle County Public Schools","Red Hill Elementary","American Indian",NA,NA
"Albemarle County Public Schools","Red Hill Elementary","Black",85.7,14.3
"Albemarle County Public Schools","Red Hill Elementary","Economically Disadvantaged",80.6,19.4
"Albemarle County Public Schools","Red Hill Elementary","English Learners",100,0
"Albemarle County Public Schools","Red Hill Elementary","Female",86.6,13.4
"Albemarle County Public Schools","Red Hill Elementary","Hispanic",92,8
"Albemarle County Public Schools","Red Hill Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Red Hill Elementary","Male",87.6,12.4
"Albemarle County Public Schools","Red Hill Elementary","Multiple Races",83.3,16.7
"Albemarle County Public Schools","Red Hill Elementary","Students with Disabilities",76.5,23.5
"Albemarle County Public Schools","Red Hill Elementary","White",87.4,12.6
"Albemarle County Public Schools","Scottsville Elementary","All Students",91.4,8.6
"Albemarle County Public Schools","Scottsville Elementary","Black",95,5
"Albemarle County Public Schools","Scottsville Elementary","Economically Disadvantaged",86.2,13.8
"Albemarle County Public Schools","Scottsville Elementary","English Learners",100,0
"Albemarle County Public Schools","Scottsville Elementary","Female",90.6,9.4
"Albemarle County Public Schools","Scottsville Elementary","Hispanic",93.8,6.2
"Albemarle County Public Schools","Scottsville Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Scottsville Elementary","Male",92.2,7.8
"Albemarle County Public Schools","Scottsville Elementary","Multiple Races",92.3,7.7
"Albemarle County Public Schools","Scottsville Elementary","Students with Disabilities",86,14
"Albemarle County Public Schools","Scottsville Elementary","White",90.7,9.3
"Albemarle County Public Schools","Stone Robinson Elementary","All Students",89.9,10.1
"Albemarle County Public Schools","Stone Robinson Elementary","Asian",88.9,11.1
"Albemarle County Public Schools","Stone Robinson Elementary","Black",83.9,16.1
"Albemarle County Public Schools","Stone Robinson Elementary","Economically Disadvantaged",83.2,16.8
"Albemarle County Public Schools","Stone Robinson Elementary","English Learners",88.2,11.8
"Albemarle County Public Schools","Stone Robinson Elementary","Female",91.1,8.9
"Albemarle County Public Schools","Stone Robinson Elementary","Hispanic",85.3,14.7
"Albemarle County Public Schools","Stone Robinson Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Stone Robinson Elementary","Male",88.8,11.2
"Albemarle County Public Schools","Stone Robinson Elementary","Multiple Races",90.9,9.1
"Albemarle County Public Schools","Stone Robinson Elementary","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Stone Robinson Elementary","Students with Disabilities",82.8,17.2
"Albemarle County Public Schools","Stone Robinson Elementary","White",91,9
"Albemarle County Public Schools","Stony Point Elementary","All Students",93.9,6.1
"Albemarle County Public Schools","Stony Point Elementary","Asian",100,0
"Albemarle County Public Schools","Stony Point Elementary","Black",85.2,14.8
"Albemarle County Public Schools","Stony Point Elementary","Economically Disadvantaged",84.6,15.4
"Albemarle County Public Schools","Stony Point Elementary","English Learners",100,0
"Albemarle County Public Schools","Stony Point Elementary","Female",95,5
"Albemarle County Public Schools","Stony Point Elementary","Hispanic",96.6,3.4
"Albemarle County Public Schools","Stony Point Elementary","Male",92.7,7.3
"Albemarle County Public Schools","Stony Point Elementary","Multiple Races",84.2,15.8
"Albemarle County Public Schools","Stony Point Elementary","Students with Disabilities",80,20
"Albemarle County Public Schools","Stony Point Elementary","White",95.9,4.1
